status_account,month_duration,credit_history,status_savings,years_employment,payment_to_income_ratio,residence_since,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,sex,marital_status,age_group,loan_burden,risk_combo,financial_health,employment_stability,has_collateral,credit_amount_log,loan_to_income_proxy,purpose_risk,total_credit_exposure
low_balance,12,current_paid,very_low,Junior,3,1,25,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,107.91666666666667,5,2.0,2.4000000000000004,1,7.16703787691222,323.75,medium_risk,3
negative,48,current_paid,very_low,Junior,3,4,24,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,young,89.75,6,1.4,2.4000000000000004,1,8.368461137615839,269.25,high_risk,3
low_balance,12,current_paid,very_low,Mid-Level,1,1,22,none,own,1,skilled,1,yes,yes,1,female,divorced/separated/married,young,130.58333333333334,5,2.0,2.4000000000000004,1,7.357556200910353,130.58333333333334,low_risk,1
negative,24,critical_other,very_low,Expert,4,4,60,none,own,2,unskilled,1,no,yes,0,male,single,adults,49.958333333333336,5,1.4,1.6,1,7.090076835776092,199.83333333333334,medium_risk,8
negative,15,current_paid,very_low,Mid-Level,2,4,28,none,rent,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,93.53333333333333,6,1.4,2.4000000000000004,1,7.247080584585756,187.06666666666666,medium_risk,2
negative,24,current_paid,low,Mid-Level,4,2,32,none,own,1,unskilled,1,no,yes,0,female,divorced/separated/married,mid_young,53.416666666666664,6,1.8,1.6,1,7.1569563646156364,213.66666666666666,low_risk,4
no_checking,24,critical_other,unknown,Expert,4,4,53,none,own,2,skilled,1,no,yes,1,male,single,adults,101.0,2,2.2,2.4000000000000004,1,7.793586803371584,404.0,low_risk,8
negative,30,no_credits,unknown,Junior,2,3,25,bank,own,3,skilled,1,no,yes,1,male,single,mid_young,269.06666666666666,9,1.0,2.4000000000000004,1,8.996280439395015,538.1333333333333,high_risk,6
low_balance,24,current_paid,very_low,Expert,4,2,44,none,for free,1,management,1,yes,yes,0,female,divorced/separated/married,adults,524.125,5,2.0,2.8,1,9.439863530254431,2096.5,low_risk,4
no_checking,24,current_paid,medium,Expert,3,2,31,none,own,1,skilled,2,yes,yes,1,male,single,mid_young,142.91666666666666,3,3.4,2.4000000000000004,1,8.14060704285845,428.75,low_risk,3
no_checking,9,critical_other,very_low,Mid-Level,4,4,48,none,own,3,skilled,1,yes,yes,1,male,single,adults,237.11111111111111,2,2.6,2.4000000000000004,1,7.666221925662725,948.4444444444445,medium_risk,12
negative,6,current_paid,medium,Mid-Level,2,3,44,none,rent,1,skilled,2,no,yes,1,male,single,adults,441.1666666666667,6,2.2,2.4000000000000004,0,7.881559917056899,882.3333333333334,low_risk,2
negative,10,critical_other,very_low,Junior,1,3,48,none,rent,2,unskilled,2,no,no,1,male,single,adults,224.1,5,1.4,1.6,0,7.715123603632105,224.1,medium_risk,2
low_balance,12,critical_other,low,Junior,3,4,44,none,own,1,skilled,1,no,yes,1,male,single,adults,150.33333333333334,4,2.4,2.4000000000000004,1,7.498315870766981,451.0,low_risk,3
no_checking,10,critical_other,unknown,Mid-Level,2,1,26,none,own,2,skilled,1,no,no,1,male,married/widowed,mid_young,206.9,2,2.2,2.4000000000000004,1,7.635303886259415,413.8,medium_risk,4
negative,6,current_paid,very_low,Mid-Level,1,2,36,bank,own,1,unskilled,1,yes,yes,1,male,single,adults,229.0,6,1.4,1.6,0,7.226209010100671,229.0,medium_risk,1
no_checking,6,no_credits,very_low,Expert,4,4,39,none,own,1,unskilled,1,no,yes,1,male,married/widowed,adults,71.0,6,2.6,1.6,1,6.056784013228625,284.0,low_risk,4
high_balance,12,all_paid_here,high,Mid-Level,3,3,42,none,rent,2,skilled,1,no,yes,1,female,divorced/separated/married,adults,34.083333333333336,6,4.4,2.4000000000000004,0,6.016157159698354,102.25,low_risk,6
low_balance,7,current_paid,very_low,Mid-Level,3,2,34,none,own,1,skilled,1,no,yes,1,male,single,mid_young,345.0,5,2.0,2.4000000000000004,0,7.789868559054706,1035.0,low_risk,3
negative,60,delayed_past,very_low,Expert,3,4,63,none,own,2,skilled,1,yes,yes,0,male,single,adults,113.93333333333334,6,1.4,2.4000000000000004,1,8.830104317913793,341.8,high_risk,6
low_balance,18,current_paid,high,Junior,3,3,36,bank,own,1,skilled,1,yes,yes,1,male,married/widowed,adults,106.27777777777777,5,3.2,2.4000000000000004,0,7.5569505720129,318.8333333333333,high_risk,3
negative,24,current_paid,very_low,Mid-Level,2,2,27,stores,own,1,skilled,1,no,yes,1,male,single,mid_young,167.5,6,1.4,2.4000000000000004,1,8.299285906897275,335.0,medium_risk,2
low_balance,18,current_paid,low,Mid-Level,2,2,30,none,own,2,skilled,1,yes,yes,1,male,single,mid_young,325.8888888888889,5,2.4,2.4000000000000004,1,8.67709870892586,651.7777777777778,medium_risk,4
no_checking,12,critical_other,unknown,Expert,4,4,57,none,rent,1,unskilled,1,no,yes,1,male,single,adults,105.33333333333333,2,2.2,1.6,1,7.142827401161621,421.3333333333333,high_risk,4
high_balance,12,current_paid,very_low,Junior,4,1,33,bank,own,1,management,1,yes,yes,1,female,divorced/separated/married,mid_young,122.83333333333333,4,3.2,2.8,1,7.29641326877392,491.3333333333333,medium_risk,4
low_balance,45,critical_other,very_low,Junior,4,2,25,none,own,2,unskilled,1,no,yes,0,male,single,mid_young,105.46666666666667,4,2.0,1.6,1,8.465268118551318,421.8666666666667,low_risk,8
no_checking,48,critical_other,very_low,Mid-Level,1,3,31,bank,for free,1,skilled,1,yes,yes,1,male,single,mid_young,127.29166666666667,2,2.6,2.4000000000000004,1,8.717845704894916,127.29166666666667,high_risk,1
high_balance,18,current_paid,very_low,Mid-Level,4,2,37,stores,own,1,skilled,1,no,yes,0,male,single,adults,116.66666666666667,4,3.2,2.4000000000000004,0,7.650168700845001,466.6666666666667,low_risk,4
high_balance,10,current_paid,very_low,Mid-Level,2,2,37,none,own,1,skilled,1,yes,yes,1,male,single,adults,122.5,4,3.2,2.4000000000000004,1,7.111512116496157,245.0,medium_risk,2
low_balance,9,current_paid,very_low,Mid-Level,4,3,24,none,own,1,skilled,1,no,yes,1,male,single,young,50.888888888888886,5,2.0,2.4000000000000004,0,6.129050210060545,203.55555555555554,low_risk,4
no_checking,30,current_paid,medium,Expert,4,2,30,bank,own,1,management,1,no,yes,1,male,single,mid_young,77.76666666666667,3,3.4,2.8,1,7.755338812846501,311.06666666666666,low_risk,4
low_balance,12,current_paid,medium,Mid-Level,3,1,26,none,own,1,skilled,1,yes,yes,1,male,divorced/separated,mid_young,96.5,5,2.8,2.4000000000000004,1,7.055312843339752,289.5,low_risk,3
low_balance,18,delayed_past,very_low,Mid-Level,2,4,44,none,own,1,unskilled,2,yes,yes,1,male,single,adults,344.6666666666667,5,2.0,1.6,0,8.733110697638708,689.3333333333334,medium_risk,2
negative,30,critical_other,low,Senior,1,4,24,none,rent,2,skilled,1,no,yes,1,male,married/widowed,young,206.23333333333332,5,1.8,2.4000000000000004,1,8.730367211692958,206.23333333333332,low_risk,2
negative,48,critical_other,very_low,Expert,4,4,58,stores,for free,2,unskilled,1,no,yes,0,female,divorced/separated/married,adults,127.97916666666667,5,1.4,1.6,1,8.723231274827508,511.9166666666667,low_risk,8
no_checking,11,critical_other,very_low,Junior,4,4,35,none,own,2,management,1,no,yes,1,female,divorced/separated/married,adults,126.63636363636364,2,2.6,2.8,1,7.2399325913204695,506.54545454545456,medium_risk,8
no_checking,36,current_paid,medium,Expert,4,4,39,none,own,1,skilled,1,no,yes,1,male,single,adults,63.861111111111114,3,3.4,2.4000000000000004,1,7.7406644019172415,255.44444444444446,low_risk,4
negative,6,current_paid,medium,unemployed,1,2,23,none,rent,1,unemployed,1,yes,yes,1,female,divorced/separated/married,young,225.33333333333334,6,2.2,0.0,1,7.210079628170788,225.33333333333334,low_risk,1
no_checking,11,critical_other,very_low,Mid-Level,1,4,39,none,own,2,unskilled,1,no,yes,1,male,single,adults,657.0909090909091,2,2.6,1.6,1,8.885855993000296,657.0909090909091,medium_risk,2
no_checking,12,current_paid,low,Mid-Level,4,2,28,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,172.75,3,3.0,2.4000000000000004,0,7.637234388789473,691.0,low_risk,4
low_balance,24,delayed_past,unknown,Junior,4,2,29,bank,own,1,unskilled,1,no,yes,1,male,single,mid_young,97.20833333333333,5,1.6,1.6,1,7.755338812846501,388.8333333333333,medium_risk,4
low_balance,27,delayed_past,very_low,Expert,1,2,30,none,own,2,management,1,yes,yes,1,male,single,mid_young,220.92592592592592,5,2.0,2.8,1,8.693831965074693,220.92592592592592,low_risk,2
no_checking,12,current_paid,very_low,Mid-Level,3,2,25,none,own,1,skilled,1,no,yes,1,male,single,mid_young,105.16666666666667,3,2.6,2.4000000000000004,1,7.141245122350491,315.5,low_risk,3
no_checking,18,current_paid,unknown,Mid-Level,2,1,31,none,own,1,skilled,1,yes,yes,1,male,single,mid_young,187.66666666666666,3,2.2,2.4000000000000004,1,8.12533508671429,375.3333333333333,low_risk,2
low_balance,36,delayed_past,very_low,Expert,4,4,57,bank,for free,2,skilled,1,yes,yes,0,male,single,adults,61.80555555555556,5,2.0,2.4000000000000004,1,7.70796153183549,247.22222222222223,medium_risk,8
no_checking,6,all_paid_here,unknown,Mid-Level,1,2,26,stores,own,1,unskilled,2,no,yes,1,male,single,mid_young,130.5,5,2.2,1.6,0,6.664409020350408,130.5,medium_risk,1
low_balance,12,current_paid,unknown,unemployed,2,1,52,none,own,1,management,1,yes,yes,0,male,single,adults,539.0,5,1.6,2.8,1,8.774776816043985,1078.0,low_risk,2
no_checking,36,critical_other,very_low,Mid-Level,2,2,31,stores,own,2,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,265.72222222222223,2,2.6,2.4000000000000004,1,9.166074955678168,531.4444444444445,low_risk,4
high_balance,18,current_paid,very_low,Expert,3,2,23,none,own,1,management,1,no,yes,1,female,divorced/separated/married,young,108.94444444444444,4,3.2,2.8,1,7.581719640125308,326.8333333333333,medium_risk,3
negative,36,critical_other,very_low,Junior,4,4,23,none,rent,2,unskilled,1,yes,yes,0,female,divorced/separated/married,young,173.02777777777777,5,1.4,1.6,1,8.737131611781498,692.1111111111111,medium_risk,8
low_balance,9,current_paid,very_low,Mid-Level,2,1,27,bank,own,1,skilled,1,yes,yes,1,male,married/widowed,mid_young,154.55555555555554,5,2.0,2.4000000000000004,0,7.238496840894365,309.1111111111111,high_risk,2
low_balance,15,critical_other,unknown,Expert,4,4,50,none,own,2,skilled,1,yes,yes,1,male,single,adults,102.46666666666667,4,1.6,2.4000000000000004,0,7.338238150065589,409.8666666666667,low_risk,8
low_balance,36,no_credits,very_low,Expert,4,4,61,none,for free,1,management,1,yes,yes,0,male,single,adults,54.25,8,2.0,2.8,1,7.577633832602728,217.0,high_risk,4
low_balance,48,no_credits,very_low,Mid-Level,2,2,25,none,own,1,skilled,1,yes,yes,0,male,single,mid_young,300.4375,8,2.0,2.4000000000000004,1,9.576510097476705,600.875,high_risk,2
no_checking,24,current_paid,very_low,Junior,4,4,26,none,own,1,skilled,1,yes,yes,1,female,divorced/separated/married,mid_young,132.54166666666666,3,2.6,2.4000000000000004,1,8.065265208897733,530.1666666666666,low_risk,4
no_checking,27,current_paid,unknown,Expert,4,4,48,none,own,4,skilled,2,yes,yes,1,male,single,adults,192.22222222222223,3,2.2,2.4000000000000004,1,8.55468163582723,768.8888888888889,medium_risk,16
no_checking,12,current_paid,very_low,Junior,2,2,29,bank,own,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,180.91666666666666,3,2.6,2.4000000000000004,1,7.683403681053826,361.8333333333333,low_risk,2
low_balance,12,current_paid,high,Mid-Level,4,1,22,none,own,1,skilled,1,no,yes,1,male,married/widowed,young,83.91666666666667,5,3.2,2.4000000000000004,0,6.915723448631314,335.6666666666667,medium_risk,4
no_checking,36,current_paid,very_low,Mid-Level,4,4,37,stores,for free,1,skilled,1,yes,yes,0,male,single,adults,50.52777777777778,3,2.6,2.4000000000000004,1,7.506591780070841,202.11111111111111,high_risk,4
no_checking,36,current_paid,unknown,Mid-Level,4,4,25,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,66.5,3,2.2,2.4000000000000004,1,7.781138509845015,266.0,low_risk,4
no_checking,36,current_paid,very_low,Mid-Level,1,2,30,bank,own,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,225.91666666666666,3,2.6,2.4000000000000004,1,9.00380808646717,225.91666666666666,low_risk,1
no_checking,7,critical_other,unknown,Expert,4,2,46,none,rent,2,unskilled,1,yes,yes,1,male,single,adults,104.28571428571429,2,2.2,1.6,1,6.594413459749778,417.14285714285717,low_risk,8
negative,8,critical_other,very_low,Expert,3,4,51,bank,for free,2,management,2,yes,yes,1,male,single,adults,145.5,5,1.4,2.8,1,7.060476365999801,436.5,medium_risk,6
low_balance,42,critical_other,very_low,Senior,2,1,41,bank,own,2,unskilled,1,no,yes,1,female,divorced/separated/married,adults,141.76190476190476,4,2.0,1.6,0,8.691986481789401,283.5238095238095,high_risk,4
negative,36,current_paid,unknown,Expert,4,4,40,none,own,1,management,1,yes,yes,0,male,single,adults,54.916666666666664,6,1.0,2.8,1,7.589841512182657,219.66666666666666,high_risk,4
negative,12,critical_other,very_low,Expert,4,4,66,none,for free,2,management,1,no,yes,1,male,single,adults,127.16666666666667,5,1.4,2.8,1,7.3310603052186325,508.6666666666667,low_risk,8
negative,42,current_paid,very_low,Junior,4,3,34,none,own,1,skilled,1,no,yes,0,male,single,mid_young,94.4047619047619,6,1.4,2.4000000000000004,1,8.285513309079741,377.6190476190476,low_risk,4
low_balance,11,delayed_past,very_low,Senior,2,4,51,none,own,1,skilled,1,no,yes,1,male,single,adults,433.72727272727275,5,2.0,2.4000000000000004,1,8.470520783217808,867.4545454545455,low_risk,2
no_checking,54,no_credits,unknown,Mid-Level,2,2,39,none,own,1,unskilled,2,no,yes,1,male,single,adults,174.74074074074073,6,2.2,1.6,1,9.152393412021333,349.48148148148147,low_risk,2
low_balance,30,current_paid,very_low,Junior,2,1,22,none,own,1,skilled,1,no,yes,1,male,married/widowed,young,127.73333333333333,5,2.0,2.4000000000000004,1,8.251403065380556,255.46666666666667,medium_risk,2
no_checking,24,current_paid,unknown,Junior,1,1,44,none,own,2,skilled,1,yes,yes,0,female,divorced/separated/married,adults,247.625,3,2.2,2.4000000000000004,1,8.690137586397595,247.625,low_risk,2
no_checking,15,current_paid,medium,Expert,4,3,47,stores,own,1,skilled,1,yes,yes,1,male,single,adults,80.86666666666666,3,3.4,2.4000000000000004,1,7.101675971619444,323.46666666666664,low_risk,4
no_checking,18,current_paid,low,Mid-Level,3,4,24,none,rent,1,unskilled,1,no,yes,1,female,divorced/separated/married,young,87.11111111111111,3,3.0,1.6,1,7.358193752733032,261.33333333333337,high_risk,3
negative,24,current_paid,very_low,Expert,4,4,58,none,own,1,unskilled,1,yes,yes,1,female,divorced/separated/married,adults,73.125,6,1.4,1.6,0,7.470793774195062,292.5,medium_risk,4
negative,10,current_paid,very_low,Expert,3,4,52,none,own,1,unskilled,1,no,yes,1,male,single,adults,231.5,6,1.4,1.6,0,7.7475968386928855,694.5,low_risk,3
no_checking,12,critical_other,very_low,Mid-Level,4,2,29,none,own,2,management,1,yes,yes,1,female,divorced/separated/married,mid_young,117.66666666666667,2,2.6,2.8,0,7.253470382684528,470.6666666666667,high_risk,8
low_balance,18,critical_other,very_low,Junior,4,1,27,none,own,2,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,71.94444444444444,4,2.0,2.4000000000000004,1,7.16703787691222,287.77777777777777,medium_risk,8
low_balance,36,current_paid,low,Mid-Level,1,4,47,none,for free,1,skilled,2,yes,yes,0,male,single,adults,350.3333333333333,5,2.4,2.4000000000000004,1,9.442483307087194,350.3333333333333,high_risk,1
negative,18,current_paid,low,Senior,4,3,30,none,own,1,management,2,yes,yes,1,male,single,mid_young,124.94444444444444,6,1.8,2.8,1,7.718685495198466,499.77777777777777,medium_risk,4
negative,12,no_credits,very_low,Senior,4,3,28,none,own,2,skilled,1,no,yes,0,male,single,mid_young,92.33333333333333,9,1.4,2.4000000000000004,0,7.011213987350367,369.3333333333333,medium_risk,8
no_checking,12,critical_other,very_low,Expert,4,4,56,none,own,1,skilled,1,no,yes,1,male,single,adults,51.5,2,2.6,2.4000000000000004,0,6.428105272684596,206.0,low_risk,4
negative,12,critical_other,very_low,Expert,4,3,54,none,own,1,skilled,1,no,yes,1,male,single,adults,117.41666666666667,5,1.4,2.4000000000000004,0,7.251344983372214,469.6666666666667,low_risk,4
no_checking,12,critical_other,unknown,Expert,4,3,33,bank,own,1,unskilled,2,no,yes,0,female,divorced/separated/married,mid_young,66.41666666666667,2,2.2,1.6,1,6.682108597449809,265.6666666666667,low_risk,4
high_balance,24,critical_other,unknown,Expert,4,4,20,none,rent,2,skilled,1,no,yes,1,male,single,young,150.70833333333334,3,2.8,2.4000000000000004,1,8.193676665955241,602.8333333333334,medium_risk,8
low_balance,12,current_paid,high,Expert,4,4,54,none,own,1,skilled,1,yes,yes,1,male,single,adults,109.83333333333333,5,3.2,2.4000000000000004,0,7.1846291527173145,439.3333333333333,medium_risk,4
low_balance,54,no_credits,very_low,Junior,3,4,58,none,rent,1,skilled,1,yes,yes,0,male,single,adults,295.27777777777777,8,2.0,2.4000000000000004,1,9.67696329306244,885.8333333333333,high_risk,3
no_checking,12,critical_other,unknown,Senior,4,2,61,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,adults,167.66666666666666,2,2.2,2.4000000000000004,1,7.607381425639791,670.6666666666666,high_risk,4
low_balance,18,current_paid,low,Mid-Level,4,4,34,none,own,1,skilled,1,no,yes,1,male,single,mid_young,145.66666666666666,5,2.4,2.4000000000000004,1,7.872073979866873,582.6666666666666,high_risk,4
low_balance,36,critical_other,very_low,Expert,4,4,36,none,own,1,skilled,1,no,yes,1,male,single,adults,64.91666666666667,4,2.0,2.4000000000000004,0,7.757051142032013,259.6666666666667,low_risk,4
low_balance,20,delayed_past,unknown,Senior,3,4,36,bank,rent,2,management,2,yes,yes,1,male,single,adults,352.85,5,1.6,2.8,1,8.861917004235215,1058.5500000000002,low_risk,6
no_checking,24,current_paid,low,Expert,4,4,41,none,rent,1,unskilled,1,no,yes,1,male,married/widowed,adults,61.208333333333336,3,3.0,1.6,0,7.293017679772782,244.83333333333334,medium_risk,4
low_balance,36,current_paid,very_low,Senior,4,4,24,none,rent,1,skilled,1,no,yes,1,male,single,young,64.52777777777777,5,2.0,2.4000000000000004,1,7.751045117971802,258.1111111111111,low_risk,4
no_checking,6,delayed_past,very_low,Mid-Level,3,2,24,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,young,155.33333333333334,3,2.6,2.4000000000000004,0,6.838405200847344,466.0,low_risk,3
low_balance,9,critical_other,very_low,Senior,4,3,35,none,rent,1,skilled,1,yes,yes,1,male,single,adults,213.22222222222223,4,2.0,2.4000000000000004,1,7.560080465021827,852.8888888888889,medium_risk,4
no_checking,12,current_paid,unknown,Junior,2,4,26,none,rent,1,skilled,1,yes,yes,1,male,married/widowed,mid_young,203.75,3,2.2,2.4000000000000004,1,7.802209316247118,407.5,low_risk,2
low_balance,24,critical_other,very_low,Mid-Level,2,3,39,none,own,2,management,2,yes,yes,0,male,single,adults,497.4166666666667,4,2.0,2.8,1,9.387565631345389,994.8333333333334,medium_risk,4
no_checking,18,all_paid_here,very_low,Expert,2,4,39,bank,own,2,management,2,yes,yes,0,male,single,adults,358.77777777777777,5,2.6,2.8,1,8.773229786032473,717.5555555555555,medium_risk,4
low_balance,12,current_paid,very_low,Senior,2,2,32,none,own,1,skilled,1,no,yes,1,male,single,mid_young,506.5,5,2.0,2.4000000000000004,1,8.712595487748722,1013.0,medium_risk,2
negative,24,current_paid,unknown,Junior,1,2,30,none,own,1,skilled,1,yes,no,1,female,divorced/separated/married,mid_young,321.7083333333333,6,1.0,2.4000000000000004,1,8.951828676824181,321.7083333333333,medium_risk,1
low_balance,14,current_paid,medium,Expert,1,2,35,none,own,1,skilled,1,yes,yes,1,male,married/widowed,adults,100.71428571428571,5,2.8,2.4000000000000004,0,7.2520539518528135,100.71428571428571,high_risk,1
low_balance,6,delayed_past,low,Expert,1,2,31,bank,own,2,skilled,2,no,yes,1,male,divorced/separated,mid_young,241.5,5,2.4,2.4000000000000004,1,7.27931883541462,241.5,high_risk,2
high_balance,15,current_paid,very_low,Junior,4,4,23,none,rent,1,skilled,1,yes,yes,1,female,divorced/separated/married,young,26.133333333333333,4,3.2,2.4000000000000004,1,5.973809611869261,104.53333333333333,high_risk,4
low_balance,18,current_paid,very_low,Senior,3,3,28,none,rent,1,unskilled,1,no,yes,1,male,single,mid_young,347.77777777777777,5,2.0,1.6,0,8.74209519574531,1043.3333333333333,medium_risk,3
no_checking,36,critical_other,very_low,Mid-Level,4,2,25,stores,own,2,skilled,1,yes,yes,0,female,divorced/separated/married,mid_young,218.19444444444446,2,2.6,2.4000000000000004,0,8.969032850034301,872.7777777777778,medium_risk,8
negative,12,current_paid,medium,Expert,3,1,35,none,own,1,skilled,1,no,yes,1,male,married/widowed,adults,140.0,6,2.2,2.4000000000000004,0,7.427144133408616,420.0,low_risk,3
no_checking,48,critical_other,unknown,Expert,4,1,47,none,own,1,skilled,1,yes,yes,1,male,single,adults,74.54166666666667,2,2.2,2.4000000000000004,0,8.182838710766026,298.1666666666667,low_risk,4
negative,42,current_paid,unknown,Senior,4,3,30,none,own,1,management,1,yes,yes,0,female,divorced/separated/married,mid_young,170.8095238095238,6,1.0,2.8,1,8.878358040627822,683.2380952380952,low_risk,4
negative,10,critical_other,unknown,Junior,2,3,27,none,rent,2,skilled,1,no,no,1,female,divorced/separated/married,mid_young,213.2,5,1.0,2.4000000000000004,0,7.665284718471351,426.4,medium_risk,4
negative,33,critical_other,medium,Mid-Level,1,4,23,none,own,2,skilled,1,no,yes,0,female,divorced/separated/married,young,129.72727272727272,5,2.2,2.4000000000000004,1,8.362175469149628,129.72727272727272,medium_risk,2
low_balance,12,critical_other,medium,Senior,3,3,36,none,own,1,management,1,yes,yes,1,male,divorced/separated,adults,197.16666666666666,4,2.8,2.8,1,7.769378609513984,591.5,medium_risk,3
negative,21,current_paid,very_low,Mid-Level,3,2,25,none,own,2,skilled,1,yes,yes,0,female,divorced/separated/married,mid_young,87.38095238095238,6,1.4,2.4000000000000004,0,7.515344571180436,262.1428571428571,low_risk,6
no_checking,24,critical_other,very_low,Expert,4,2,41,none,rent,2,management,1,yes,yes,1,female,divorced/separated/married,adults,161.16666666666666,2,2.6,2.8,1,8.260751354700513,644.6666666666666,low_risk,8
no_checking,12,current_paid,very_low,Mid-Level,3,2,24,none,rent,1,unskilled,1,no,yes,1,male,single,young,147.33333333333334,3,2.6,1.6,0,7.478169694159785,442.0,medium_risk,3
high_balance,10,critical_other,very_low,Expert,4,4,63,none,for free,2,skilled,1,yes,yes,1,male,single,adults,78.1,3,3.2,2.4000000000000004,1,6.661854740545311,312.4,medium_risk,8
low_balance,18,current_paid,unknown,Junior,4,3,27,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,106.88888888888889,5,1.6,2.4000000000000004,0,7.562681246721884,427.55555555555554,medium_risk,4
negative,12,critical_other,very_low,Mid-Level,4,2,30,none,own,2,skilled,1,no,yes,1,male,single,mid_young,176.75,5,1.4,2.4000000000000004,1,7.660114319173928,707.0,medium_risk,8
negative,12,current_paid,very_low,Mid-Level,4,2,40,none,own,1,unskilled,1,no,yes,1,male,married/widowed,adults,58.416666666666664,6,1.4,1.6,0,6.553933404025811,233.66666666666666,low_risk,4
low_balance,12,current_paid,very_low,Mid-Level,4,2,30,none,own,1,skilled,1,no,yes,0,male,single,mid_young,53.25,5,2.0,2.4000000000000004,1,6.461468176353717,213.0,medium_risk,4
low_balance,12,critical_other,very_low,unemployed,4,2,34,none,own,2,management,1,yes,yes,1,male,single,mid_young,155.0,4,2.0,2.8,1,7.528869256642251,620.0,low_risk,8
negative,12,critical_other,very_low,Mid-Level,3,2,29,none,own,2,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,291.5833333333333,5,1.4,2.4000000000000004,0,8.160518247477505,874.75,medium_risk,6
low_balance,48,current_paid,unknown,Senior,1,2,24,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,young,176.8125,5,1.6,2.4000000000000004,1,9.046408680293819,176.8125,medium_risk,1
negative,36,delayed_past,very_low,Mid-Level,4,3,29,stores,own,1,skilled,1,yes,yes,0,male,single,mid_young,191.30555555555554,6,1.4,2.4000000000000004,1,8.837536046107568,765.2222222222222,high_risk,4
no_checking,15,current_paid,very_low,Junior,2,3,27,bank,own,2,unskilled,1,no,yes,1,male,single,mid_young,180.53333333333333,3,2.6,1.6,1,7.904334842085095,361.06666666666666,medium_risk,4
no_checking,18,current_paid,very_low,Mid-Level,4,4,47,bank,for free,2,skilled,1,no,yes,1,male,single,adults,110.22222222222223,3,2.6,2.4000000000000004,1,7.59337419312129,440.8888888888889,medium_risk,8
no_checking,60,current_paid,low,Senior,2,4,21,none,own,1,skilled,1,yes,yes,1,female,divorced/separated/married,young,169.06666666666666,3,3.0,2.4000000000000004,0,9.224736252259914,338.1333333333333,low_risk,2
